license_number,business_name,gp_rating,enrich_status,error_message
506216,PHILLIPS PAINTING,,,
506386,GLYNN CONSTRUCTION,,,
506456,LIBERTY COMPANY WORLDWIDE,,,
507875,R J S ELECTRICAL AND GENERAL CONTRACTOR,,,
509379,ZURAWSKI ALAN CONSTRUCTION,,,
509572,FURGERSON CONSTRUCTION,,,
509662,CAIN'S CONCRETE,,,
510224,GERHARD CONSTRUCTION SERVICES,,,
510664,FREESE PAUL CONSTRUCTION,,,
510956,SHANABROOK SHAWN L CONSTRUCTION,,,
511139,G AND M LANDSCAPING - LETICIA OROZCO,,,
511381,ARONSON M J,,,
511393,WOODWARD'S CONCRETE CONSTRUCTION,,,
511785,DAWSON M L CONSTRUCTION,,,
512181,LOMAX HOME IMPROVEMENT,,,
512540,LORENZEN LESLIE CONSTRUCTION,,,
512578,VALLEY ROCK WATERFALLS,,,
513168,VOY10 ELECTRIC,,,
513563,YOUNG CONSTRUCTION,,,
516012,TINKEY PLUMBING,,,
516017,R M V CONSTRUCTION,,,
516461,CENTRAL CONSTRUCTION COMPANY,,,
516487,HURLEY ELECTRIC AND CONSTRUCTION,,,
516538,TRUJILLO JOHN JR MASONRY,,,
516682,D M DOBKIN COMPANY,,,
517407,GRANT C B ELECTRIC,,,
517615,MAJUK LEONARD ELECTRIC,,,
517988,GATEWAY PACIFIC CONTRACTORS INC,,,
518963,AMERICAN MODERN CONSTRUCTION AND PAINTING,,,
518989,J M B MATERIALS INC,,,
519095,PARS CONSTRUCTION CO,,,
519208,J R V CONSTRUCTION CO,,,
519267,FORCE ONE CONSTRUCTION,,,
519465,TAYLOR MORRISON SERVICES INC,,,
519488,MADSEN ROOFING & WATERPROOFING INC,,,
519694,LAWSON ELECTRIC,,,
520313,SWANSON CARPET INC,,,
520651,CHWALOWSKI REMODELING,,,
520963,ANTELOPE IRON INC,,,
521193,L G BACKHOE SERVICE INC,,,
521361,BOGHOS ANTOUN YACOUB,,,
521510,G & S ELECTRIC,,,
521687,COMFORT AIR,,,
521804,KUHAGEN INC,,,
521913,R M GENERAL CONTRACTING,,,
522078,WALDO BOWERS FLOOR COVERING INC,,,
522972,NATURAL CHEM POOL SERVICES,,,
523030,FEIST CABINETS & WOODWORKS INC,,,
523461,EL DORADO ALARM AND HOME THEATER INC,,,
523537,H B T CONSTRUCTION OF CALIFORNIA INC,,,
523798,D W CONSTRUCTION,,,
